site,title,url
rtlz,Meer betalingsproblemen bij jongeren: zo blijf je uit de schulden,https://www.rtlnieuws.nl/economie/life/artikel/5161867/betalingsproblemen-schulden-jongeren-bkr-nibud-advies-voorkomen
rtlnieuws,Waarom worden vakanties naar Turkije nog steeds afgeraden?,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5161618/turkije-reisadvies-code-oranje-vakantie-afgeraden-verzekering
rtlnieuws,"Strandgangers Zeeland opgepast, de venijnige kruiskwal is er weer",https://www.rtlnieuws.nl/nieuws/nederland/artikel/5161400/kwal-japanse-kruiskwal-zwemmen-gestoken-zwemwater-veerse-meer
rtlnieuws,"Internetoplichting explodeert door corona, minder inbraak",https://www.rtlnieuws.nl/tech/artikel/5159956/cybercrime-fraude-corona-misdaad-inbraak-zakkenrollen-politie
rtlz,Tienduizenden coronawerklozen tellen officieel niet mee,https://www.rtlnieuws.nl/economie/artikel/5158396/werkloosheid-corona-baan-kwijt-economie-crisis-grafieken
rtlnieuws,Niet-westerse Nederlanders mijden donorregister,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5156821/orgaandonatie-migratieachtergrond-niet-geregistreerd-angst
rtlnieuws,Dagelijkse cijfers RIVM steeds lager: hoe gaan we daar mee om?,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5154736/rivm-cijfers-corona-laag-weinig-patienten-waarom-elke-dag
rtlz,Vergaderplatform Zoom bouwt censuurfunctie voor Chinese overheid,https://www.rtlnieuws.nl/economie/bedrijven/artikel/5151376/zoom-china-censuur-blokkeren-activisten-tiananmen-protest
rtlz,Zo zet de coronacrisis de woningmarkt op zijn kop,https://www.rtlnieuws.nl/economie/life/artikel/5151236/woningmarkt-corona-cijfers-grafieken-hypotheekrente-huizenprijzen
rtlnieuws,Kan het coronavirus in Nederland vanzelf uitdoven?,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5150101/coronavirus-uitdoven-voorbij-epidemie-einde-nieuw-zeeland
rtlnieuws,"Tientallen gemeenten al een maand coronavrij, bekijk de kaart",https://www.rtlnieuws.nl/nieuws/nederland/artikel/5147416/gemeenten-besmettingen-corona-geen-virus-regio-verspreiding
rtlnieuws,"Nu 6005 coronadoden, bijna de helft overleed in verpleeghuis",https://www.rtlnieuws.nl/nieuws/artikel/5144186/corona-doden-sterfgevallen-overleden-verpleeghuis-ouderen
rtlz,Souvenirwinkels in het nauw door stilvallen toerisme,https://www.rtlnieuws.nl/economie/business/artikel/5143011/toerisme-souvenirs-verkoop-bedrijf-corona-winkels-failliet
rtlnieuws,Ziekenhuizen raken steeds leger: helft ic-patiënten weer thuis,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5141526/ziekenhuis-patienten-corona-covid-intensive-care-ic-behandeld
rtlnieuws,Hoe kun je voor afstand zorgen bij een massademonstratie?,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5140636/demonstratie-afstand-ruimte-15-meter-dam-black-lives-matter
rtlz,Nederlanders sparen miljarden extra door coronacrisis,https://www.rtlnieuws.nl/economie/life/artikel/5137876/spaargeld-corona-huis-uitgeven-sparen-recessie-economie
rtlnieuws,Lancering naar ruimtestation ISS geannuleerd: kans op bliksem,https://www.rtlnieuws.nl/nieuws/nederland/artikel/5135171/raketlancering-spacex-nasa-astronauten-ruimtevaart-zien
rtlnieuws,Mensenmassa's op de foto? 'Mythe dat fotografie objectief is',https://www.rtlnieuws.nl/nieuws/nederland/artikel/5133741/fotografie-drukte-telelens-voor-de-gek-perspectief-inzoomen-lens
